BookingID,LeadTime,ArrivalYear,ArrivalMonth,ArrivalDate,MealPlan,Parking,RoomType,MarketSegment,RepeatedGuest,NumPrevCancellations,NumPreviousNonCancelled,AvgRoomPrice,SpecialRequests,BookingStatus,guests,arrival_date,total_stays
1,10,2018,3,31,Meal Plan 1,0,Room_Type 1,Corporate,0,0,0,95.0,0,0,1,2018-3-31,1
2,116,2018,2,28,Meal Plan 1,0,Room_Type 1,Online,0,0,0,61.0,0,0,1,2018-2-28,3
3,11,2018,7,25,Meal Plan 1,0,Room_Type 1,Online,0,0,0,129.75,1,1,3,2018-7-25,3
4,3,2017,9,12,Meal Plan 1,0,Room_Type 1,Online,0,0,0,152.0,3,1,2,2017-9-12,1
5,28,2018,3,7,Meal Plan 1,0,Room_Type 1,Offline,0,0,0,87.0,0,1,2,2018-3-7,4
6,213,2018,6,7,Meal Plan 1,0,Room_Type 1,Online,0,0,0,130.0,0,0,2,2018-6-7,3
7,35,2017,9,18,Meal Plan 1,0,Room_Type 1,Online,0,0,0,145.35,1,1,2,2017-9-18,2
8,1,2018,11,9,Meal Plan 1,0,Room_Type 1,Complementary,0,0,0,0.0,1,1,1,2018-11-9,6
9,346,2018,9,13,Meal Plan 2,0,Room_Type 1,Offline,0,0,0,115.0,1,0,2,2018-9-13,2
10,79,2018,9,3,Meal Plan 1,0,Room_Type 1,Offline,0,0,0,95.0,0,1,2,2018-9-3,7
11,66,2017,11,19,Meal Plan 1,0,Room_Type 6,Online,0,0,0,135.0,3,1,4,2017-11-19,3
12,44,2018,6,18,Meal Plan 1,0,Room_Type 4,Offline,0,0,0,96.3,0,1,2,2018-6-18,2
13,89,2018,7,25,Meal Plan 1,0,Room_Type 4,Online,0,0,0,137.7,0,0,3,2018-7-25,3
14,280,2018,12,6,Meal Plan 1,0,Room_Type 1,Online,0,0,0,94.5,2,0,3,2018-12-6,3
15,60,2017,9,21,Meal Plan 1,0,Room_Type 1,Offline,0,0,0,65.0,0,1,2,2017-9-21,2
16,43,2018,4,11,Not Selected,0,Room_Type 1,Online,0,0,0,94.5,1,1,2,2018-4-11,2
17,0,2018,10,13,Meal Plan 1,0,Room_Type 4,Online,0,0,0,155.0,1,1,2,2018-10-13,1
18,63,2018,1,19,Meal Plan 1,0,Room_Type 1,Offline,0,0,0,71.0,0,1,1,2018-1-19,2
